subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
9065	0.5	0.5	0.5
877	0.0	0.0	0.0
17261	0.0	0.0	0.0
17263	0.0	0.5	0.5
9075	0.0	0.5	0.5
9077	1.0	1.0	1.0
9078	0.0	0.0	0.0
9079	0.0	0.5	0.5
17276	0.0	1.0	1.0
893	0.0	0.5	0.5
895	0.5	0.5	0.0
900	0.0	0.5	0.5
9106	0.5	0.5	0.0
9107	0.0	0.5	0.5
9109	0.0	0.5	0.5
17302	0.0	0.0	0.0
9111	0.0	1.0	1.0
9112	1.0	1.0	1.0
17303	0.0	1.0	1.0
17305	0.0	1.0	1.0
923	0.0	0.5	0.5
17309	0.0	0.0	0.0
17313	1.0	0.0	1.0
17318	0.0	0.5	0.5
9128	0.0	0.5	0.5
17321	0.0	1.0	1.0
9131	0.0	0.5	0.5
9132	0.0	0.5	0.5
17328	0.0	1.0	1.0
17335	0.5	0.0	0.5
952	1.0	1.0	0.5
17338	0.0	1.0	1.0
9147	0.0	1.0	1.0
956	0.0	0.0	0.0
957	0.0	0.0	0.0
17339	0.0	0.5	0.5
17341	0.5	0.5	0.0
9152	0.0	0.0	0.0
17344	0.0	0.5	0.5
9156	0.0	0.0	0.0
17348	0.0	0.0	0.0
17351	0.0	0.0	0.0
969	0.5	0.0	0.5
9161	0.0	0.5	0.5
975	0.0	1.0	1.0
17365	0.0	0.5	0.5
17369	0.5	1.0	1.0
17371	0.0	0.0	0.0
988	0.0	0.0	0.0
989	0.0	1.0	1.0
9182	1.0	1.0	0.0
9185	0.0	0.0	0.0
996	0.0	0.5	0.5
1001	0.0	0.5	0.5
1008	0.0	0.0	0.0
9201	0.0	0.0	0.0
9205	0.0	0.0	0.0
17397	0.0	0.0	0.0
9207	0.0	0.5	0.5
1016	1.0	1.0	0.0
1017	0.0	0.0	0.0
9208	1.0	1.0	1.0
9209	0.0	0.5	0.5
1022	1.0	1.0	0.0
9219	1.0	1.0	0.0
17413	0.0	0.5	0.5
17425	0.0	0.5	0.5
17430	0.0	0.5	0.5
17433	0.5	0.5	0.5
17435	0.5	1.0	0.5
1059	0.0	0.5	0.5
1060	0.0	0.5	0.5
1061	0.0	1.0	1.0
1063	0.0	0.0	0.0
17448	0.5	0.5	0.0
17450	1.0	1.0	0.0
17451	0.0	0.5	0.5
17454	0.0	1.0	1.0
17457	0.0	0.0	0.0
9269	1.0	1.0	0.0
17462	0.0	0.0	0.0
1082	0.0	0.0	0.0
17483	0.0	0.0	0.0
17485	0.0	0.0	0.0
9311	0.0	0.0	0.0
1121	0.0	0.5	0.5
17507	0.0	0.5	0.5
1126	1.0	0.5	1.0
9324	0.0	1.0	1.0
1137	1.0	1.0	1.0
9334	0.0	0.5	0.5
9338	0.0	0.5	0.5
9340	1.0	1.0	0.0
17533	0.0	0.5	0.5
1151	0.0	0.0	0.0
1155	0.0	1.0	1.0
9349	0.0	0.0	0.0
1166	0.0	0.0	0.0
1168	0.5	1.0	1.0
1178	0.0	0.5	0.5
17564	0.0	1.0	1.0
9375	0.5	1.0	1.0
17569	0.0	0.0	0.0
17576	0.0	1.0	1.0
17583	0.0	0.0	0.0
17587	0.5	1.0	1.0
17590	0.0	1.0	1.0
1215	0.0	0.0	0.0
1219	0.0	0.5	0.5
17603	1.0	1.0	0.0
1230	0.0	1.0	1.0
1240	0.5	0.5	0.0
1241	0.0	0.5	0.5
17626	1.0	1.0	0.0
9436	0.0	0.5	0.5
9440	0.0	0.0	0.0
1249	0.5	1.0	1.0
17634	0.0	0.5	0.5
1253	0.0	0.0	0.0
9447	0.5	1.0	1.0
17641	1.0	1.0	1.0
17650	0.0	0.5	0.5
17651	0.0	0.5	0.5
1268	0.0	0.0	0.0
9462	0.0	0.5	0.5
17659	0.0	0.5	0.5
17661	0.0	1.0	1.0
1280	1.0	1.0	0.0
9473	0.0	0.0	0.0
9475	0.0	0.5	0.5
1287	0.0	1.0	1.0
17675	0.0	1.0	1.0
17676	0.0	0.0	0.0
17681	0.0	0.5	0.5
1301	0.0	0.0	0.0
17686	0.0	0.5	0.5
1305	0.0	0.5	0.5
1307	0.0	0.0	0.0
9500	0.0	1.0	1.0
17693	1.0	1.0	0.0
9504	0.0	0.5	0.5
1313	0.0	0.0	0.0
1317	0.0	0.5	0.5
9511	0.0	0.0	0.0
1325	0.0	0.0	0.0
9517	0.0	1.0	1.0
9520	0.0	0.0	0.0
9522	0.0	0.5	0.5
17716	0.0	1.0	1.0
9525	0.0	0.0	0.0
17718	0.0	1.0	1.0
1342	0.0	0.0	0.0
1343	0.0	0.0	0.0
17728	0.0	0.5	0.5
9541	0.0	0.0	0.0
1354	0.0	1.0	1.0
9551	0.0	1.0	1.0
9557	0.0	0.5	0.5
17750	0.0	0.5	0.5
1368	0.0	1.0	1.0
17765	0.0	0.5	0.5
1383	1.0	1.0	0.5
9577	0.0	0.5	0.5
17771	0.0	0.0	0.0
17772	0.5	0.0	0.5
9581	0.5	0.5	0.0
1390	0.0	1.0	1.0
17773	0.0	0.5	0.5
17774	0.0	0.0	0.0
17775	0.0	0.0	0.0
17779	0.0	0.0	0.0
9589	0.0	0.0	0.0
1404	0.0	0.0	0.0
9601	0.0	0.0	0.0
1410	0.0	0.0	0.0
1436	0.5	0.5	0.5
17825	0.0	0.5	0.5
17827	0.0	0.5	0.5
9638	1.0	1.0	0.5
9651	0.0	0.5	0.5
17845	0.0	1.0	1.0
9655	0.0	1.0	1.0
17851	0.0	0.5	0.5
9663	1.0	1.0	0.0
9668	1.0	0.5	1.0
1482	0.0	0.5	0.5
17869	0.0	0.5	0.5
9687	0.0	0.0	0.0
17880	0.0	0.5	0.5
1501	1.0	0.0	1.0
9693	1.0	1.0	1.0
9701	0.0	0.0	0.0
17906	0.0	0.5	0.5
9716	1.0	1.0	0.0
1525	0.0	0.5	0.5
17910	0.0	1.0	1.0
17913	0.0	0.5	0.5
1532	0.0	0.5	0.5
17925	0.0	0.5	0.5
1543	0.5	0.5	0.5
1550	0.0	1.0	1.0
17940	0.0	0.5	0.5
1561	0.0	0.0	0.0
9753	1.0	1.0	0.0
9763	0.5	0.5	0.0
17956	0.5	1.0	0.5
9766	1.0	1.0	0.0
9767	0.0	0.5	0.5
9769	0.0	0.5	0.5
1582	0.0	1.0	1.0
1586	0.5	1.0	1.0
1592	1.0	1.0	1.0
9790	0.0	1.0	1.0
9796	1.0	1.0	0.0
17989	0.0	0.0	0.0
1606	0.0	0.5	0.5
1608	0.0	0.5	0.5
1620	1.0	0.0	1.0
1623	0.0	1.0	1.0
1626	0.5	0.0	0.5
9818	0.0	1.0	1.0
18015	0.0	0.5	0.5
9824	1.0	1.0	0.0
18018	0.0	0.5	0.5
1637	1.0	1.0	1.0
1639	0.0	0.5	0.5
18024	0.0	0.0	0.0
18025	0.0	0.5	0.5
1646	1.0	1.0	0.5
1647	0.5	1.0	1.0
18031	0.0	0.5	0.5
18033	0.5	0.5	0.5
9848	0.0	1.0	1.0
9853	0.0	1.0	1.0
18048	0.0	0.5	0.5
18049	0.0	0.5	0.5
1668	0.0	0.5	0.5
9861	0.0	1.0	1.0
9866	1.0	1.0	0.5
1679	0.0	0.0	0.0
1680	0.0	0.0	0.0
9874	1.0	1.0	0.0
1683	0.0	1.0	1.0
9875	0.0	0.5	0.5
1686	0.0	0.0	0.0
18071	0.0	0.5	0.5
18072	0.0	0.5	0.5
18074	0.0	0.5	0.5
9883	0.5	1.0	0.5
