family	init-inferred-rf	init-true-rf	inferred-true-rf
PF02681	0.9235668789808917	0.43312101910828027	0.9171974522292994
PF04170	0.9594594594594594	0.7162162162162162	0.9459459459459459
PF06155	0.9541984732824428	0.5419847328244275	0.9465648854961832
PF15915	0.9240506329113924	0.6075949367088608	0.9113924050632911
PF14412	0.9019607843137255	0.5882352941176471	0.8823529411764706
PF19979	0.9484536082474226	0.5773195876288659	0.9587628865979382
PF02199	0.9594594594594594	0.7567567567567568	0.9324324324324325
PF21904	0.8888888888888888	0.5873015873015873	0.9047619047619048
PF24419	0.9076923076923077	0.36923076923076925	0.9076923076923077
PF03834	0.9306930693069307	0.37623762376237624	0.9306930693069307
PF18950	0.9344262295081968	0.4098360655737705	0.9508196721311475
PF22758	0.9402173913043478	0.4782608695652174	0.9293478260869565
PF08142	0.9735099337748344	0.5165562913907285	0.9403973509933775
PF06041	0.9263803680981595	0.49079754601226994	0.9202453987730062
PF05255	0.9841269841269841	0.49206349206349204	0.9841269841269841
PF20218	0.9824561403508771	0.7192982456140351	0.9824561403508771
PF04520	0.8860759493670886	0.45569620253164556	0.8860759493670886
PF24668	0.9583333333333334	0.4583333333333333	0.9583333333333334
PF07821	0.9464285714285714	0.5	0.9642857142857143
PF11380	0.9431818181818182	0.45454545454545453	0.9431818181818182
PF20577	0.9418604651162791	0.7441860465116279	0.9418604651162791
PF14129	0.9493670886075949	0.620253164556962	0.9620253164556962
PF02188	0.9833333333333333	0.7666666666666667	0.9833333333333333
PF18202	0.9795918367346939	0.7142857142857143	0.9591836734693877
PF22986	0.9607843137254902	0.6666666666666666	0.9803921568627451
PF05002	0.957983193277311	0.453781512605042	0.957983193277311
PF01381	0.9595375722543352	0.7514450867052023	0.9653179190751445
PF12727	0.9504950495049505	0.38613861386138615	0.9603960396039604
PF07553	0.9354838709677419	0.7096774193548387	0.8709677419354839
PF21273	0.9176470588235294	0.47058823529411764	0.9058823529411765
PF07064	0.8793103448275862	0.43103448275862066	0.8448275862068966
PF25335	0.9366197183098591	0.4084507042253521	0.9366197183098591
PF10421	0.9135802469135802	0.2962962962962963	0.9012345679012346
PF07869	0.9743589743589743	0.6282051282051282	0.9743589743589743
PF22909	0.9047619047619048	0.3492063492063492	0.9047619047619048
PF06766	0.9367088607594937	0.4430379746835443	0.8987341772151899
PF24234	0.9591836734693877	0.7346938775510204	0.8979591836734694
PF23041	0.9850746268656716	0.6716417910447762	0.9626865671641791
PF10714	0.9292035398230089	0.49557522123893805	0.9203539823008849
PF11998	0.9642857142857143	0.6607142857142857	0.9642857142857143
PF19447	0.9142857142857143	0.6095238095238096	0.9238095238095239
PF01198	0.961038961038961	0.7922077922077922	0.935064935064935
PF24656	0.9411764705882353	0.5514705882352942	0.9485294117647058
PF13721	0.9494949494949495	0.3939393939393939	0.9393939393939394
PF25109	0.9823008849557522	0.46017699115044247	0.9646017699115044
PF23580	0.9734513274336283	0.7433628318584071	0.9646017699115044
PF03129	0.9894736842105263	0.5894736842105263	0.9894736842105263
PF23643	0.9245283018867925	0.6037735849056604	0.9245283018867925
PF02828	0.921875	0.546875	0.921875
PF20887	0.9827586206896551	0.5517241379310345	0.9655172413793104
PF08590	0.9655172413793104	0.5804597701149425	0.9712643678160919
PF22688	0.9393939393939394	0.5858585858585859	0.9292929292929293
PF08263	0.9494949494949495	0.6767676767676768	0.9494949494949495
PF24975	0.9655172413793104	0.4482758620689655	0.9137931034482759
PF08020	0.8888888888888888	0.3148148148148148	0.9074074074074074
PF21833	0.9041095890410958	0.684931506849315	0.8767123287671232
PF04213	0.9508196721311475	0.4262295081967213	0.9508196721311475
PF20076	0.9532710280373832	0.5514018691588785	0.9532710280373832
PF00805	0.9781021897810219	0.8613138686131386	0.9343065693430657
PF08746	0.9175257731958762	0.6288659793814433	0.9278350515463918
PF21743	0.9846153846153847	0.8769230769230769	0.9384615384615385
PF24443	0.9625	0.6	0.9625
PF08570	0.9487179487179487	0.5256410256410257	0.9487179487179487
PF25273	0.8979591836734694	0.24489795918367346	0.8979591836734694
PF25288	0.9259259259259259	0.7407407407407407	0.9259259259259259
PF22994	0.9322033898305084	0.3305084745762712	0.9322033898305084
PF10159	0.9672131147540983	0.4918032786885246	1.0
PF15714	0.9493670886075949	0.8037974683544303	0.9556962025316456
PF20066	0.9761904761904762	0.42857142857142855	0.9761904761904762
PF23778	0.9489795918367347	0.46938775510204084	0.9387755102040817
PF08702	0.9152542372881356	0.5254237288135594	0.8983050847457628
PF06877	0.9076923076923077	0.6	0.8461538461538461
PF20589	0.9571428571428572	0.4857142857142857	0.9714285714285714
PF17215	0.9473684210526315	0.5789473684210527	0.8947368421052632
PF17836	0.975609756097561	0.7317073170731707	0.9634146341463414
PF19790	0.9253731343283582	0.7910447761194029	0.9402985074626866
PF13953	0.9558823529411765	0.6764705882352942	0.9558823529411765
PF09262	0.956989247311828	0.4731182795698925	0.956989247311828
PF18912	0.9403973509933775	0.7483443708609272	0.9403973509933775
PF25089	0.9230769230769231	0.5	0.9358974358974359
PF23141	0.9714285714285714	0.5	0.9714285714285714
PF13581	0.9038461538461539	0.6730769230769231	0.9038461538461539
PF11875	0.9285714285714286	0.5119047619047619	0.9166666666666666
PF23626	0.9428571428571428	0.49523809523809526	0.9523809523809523
PF13579	0.9456521739130435	0.75	0.9347826086956522
PF13145	0.978021978021978	0.8241758241758241	0.978021978021978
PF01740	0.9692307692307692	0.6153846153846154	0.9538461538461539
PF00530	0.9682539682539683	0.746031746031746	0.9523809523809523
PF01684	0.9622641509433962	0.6037735849056604	0.9245283018867925
PF20182	0.9206349206349206	0.7301587301587301	0.8571428571428571
PF12000	0.9032258064516129	0.4032258064516129	0.9193548387096774
PF03587	0.8918918918918919	0.35135135135135137	0.8828828828828829
PF08714	0.9122807017543859	0.40350877192982454	0.9298245614035088
PF01974	0.9137931034482759	0.5344827586206896	0.8793103448275862
PF12368	0.9516129032258065	0.5967741935483871	0.9435483870967742
PF03550	0.9292929292929293	0.45454545454545453	0.9191919191919192
