	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
421	PF00004	17775	0.5	0.5	0.0
422	PF00004	17779	0.0	0.0	0.0
423	PF00004	9589	0.0	0.0	0.0
424	PF00004	1404	0.0	0.0	0.0
425	PF00004	9601	0.0	0.0	0.0
426	PF00004	1410	0.0	0.0	0.0
427	PF00004	1436	0.5	0.0	0.5
428	PF00004	17825	0.0	0.0	0.0
429	PF00004	17827	0.0	0.5	0.5
430	PF00004	9638	0.0	0.0	0.0
431	PF00004	9651	0.5	1.0	0.5
432	PF00004	17845	0.0	1.0	1.0
433	PF00004	9655	0.0	1.0	1.0
434	PF00004	17851	0.0	0.5	0.5
435	PF00004	9663	0.0	0.0	0.0
436	PF00004	9668	0.0	1.0	1.0
437	PF00004	1482	0.0	0.5	0.5
438	PF00004	17869	0.0	0.0	0.0
439	PF00004	9687	0.0	0.0	0.0
440	PF00004	17880	0.0	0.5	0.5
441	PF00004	1501	0.0	1.0	1.0
442	PF00004	9693	0.0	1.0	1.0
443	PF00004	9701	0.0	0.0	0.0
444	PF00004	17906	0.0	0.5	0.5
445	PF00004	9716	0.0	0.0	0.0
446	PF00004	1525	0.0	0.5	0.5
447	PF00004	17910	0.0	1.0	1.0
448	PF00004	17913	0.0	0.5	0.5
449	PF00004	1532	0.0	0.0	0.5
450	PF00004	17925	0.0	0.5	0.5
451	PF00004	1543	0.0	0.5	0.5
452	PF00004	1550	0.0	1.0	1.0
453	PF00004	17940	0.0	0.0	0.0
454	PF00004	1561	0.0	0.0	0.0
455	PF00004	9753	0.0	0.0	0.0
456	PF00004	9763	0.0	0.0	0.0
457	PF00004	17956	0.0	0.5	0.5
458	PF00004	9766	0.0	0.0	0.0
459	PF00004	9767	0.0	0.5	0.5
460	PF00004	9769	0.0	0.5	0.5
461	PF00004	1582	0.0	1.0	1.0
462	PF00004	1586	0.0	1.0	1.0
463	PF00004	1592	0.0	1.0	1.0
464	PF00004	9790	0.0	1.0	1.0
465	PF00004	9796	0.0	0.0	0.0
466	PF00004	17989	0.0	0.0	0.0
467	PF00004	1606	0.0	0.5	0.5
468	PF00004	1608	0.0	0.5	0.5
469	PF00004	1620	0.0	1.0	1.0
470	PF00004	1623	0.0	1.0	1.0
471	PF00004	1626	0.0	0.5	0.5
472	PF00004	9818	0.0	1.0	1.0
473	PF00004	18015	0.0	0.5	0.5
474	PF00004	9824	0.0	0.0	0.0
475	PF00004	18018	0.0	0.5	0.5
476	PF00004	1637	0.0	1.0	1.0
477	PF00004	1639	0.5	0.5	0.5
478	PF00004	18024	0.0	0.0	0.0
479	PF00004	18025	0.0	0.5	0.5
480	PF00004	1646	0.0	0.5	0.5
481	PF00004	1647	0.0	1.0	1.0
482	PF00004	18031	0.0	0.5	0.5
483	PF00004	18033	0.0	0.5	0.5
484	PF00004	9848	0.5	1.0	1.0
485	PF00004	9853	0.0	1.0	1.0
486	PF00004	18048	0.0	0.5	0.5
487	PF00004	18049	0.0	0.5	0.5
488	PF00004	1668	0.0	0.5	0.5
489	PF00004	9861	0.0	0.5	0.5
490	PF00004	9866	0.0	1.0	1.0
491	PF00004	1679	0.0	0.0	0.0
492	PF00004	1680	0.0	0.0	0.0
493	PF00004	9874	0.5	0.5	0.0
494	PF00004	1683	0.0	1.0	1.0
495	PF00004	9875	0.0	0.5	0.5
496	PF00004	1686	0.5	0.5	0.0
497	PF00004	18071	0.0	0.0	0.0
498	PF00004	18072	0.0	0.5	0.5
499	PF00004	18074	0.0	0.5	0.5
500	PF00004	9883	0.5	1.0	0.5
501	PF00004	9885	0.0	1.0	1.0
502	PF00004	18078	0.0	0.0	0.0
503	PF00004	18089	0.0	0.0	0.0
504	PF00004	18092	0.0	0.5	0.5
505	PF00004	9901	0.0	1.0	0.5
506	PF00004	18094	0.0	0.5	0.5
507	PF00004	9904	0.0	0.0	0.0
508	PF00004	18097	0.0	0.5	0.5
509	PF00004	9908	0.0	0.0	0.0
510	PF00004	9912	0.0	0.0	0.0
511	PF00004	9915	0.0	1.0	1.0
512	PF00004	9917	0.0	0.0	0.0
513	PF00004	9918	0.0	1.0	1.0
514	PF00004	18118	0.5	0.5	0.0
515	PF00004	1735	0.0	0.5	0.5
516	PF00004	1736	0.0	0.0	0.0
517	PF00004	1743	0.0	0.0	0.0
518	PF00004	1751	0.5	1.0	0.5
519	PF00004	18142	0.0	1.0	1.0
520	PF00004	1760	0.0	0.0	0.0
521	PF00004	1762	0.0	1.0	1.0
522	PF00004	1763	0.0	1.0	1.0
523	PF00004	1764	0.0	0.5	0.5
524	PF00004	9957	0.0	1.0	1.0
525	PF00004	18156	0.0	0.0	0.0
526	PF00004	1793	0.0	1.0	1.0
527	PF00004	9985	0.0	0.5	0.5
528	PF00004	18181	0.5	0.5	0.5
529	PF00004	1799	0.0	0.5	0.5
530	PF00004	9992	0.0	0.5	0.5
531	PF00004	1803	0.0	0.5	0.5
532	PF00004	9997	0.0	0.5	0.5
533	PF00004	1811	0.0	0.5	0.5
534	PF00004	1817	0.0	1.0	1.0
535	PF00004	10016	0.0	1.0	1.0
536	PF00004	18208	0.0	0.5	0.5
537	PF00004	1827	0.0	0.5	0.5
538	PF00004	1829	0.5	0.0	0.5
539	PF00004	18223	0.0	0.5	0.5
540	PF00004	18226	0.0	0.5	0.5
541	PF00004	18228	0.0	1.0	1.0
542	PF00004	18229	0.0	0.0	0.0
543	PF00004	18231	0.0	0.5	0.5
544	PF00004	10041	0.0	0.0	0.0
545	PF00004	1853	0.0	0.0	0.0
546	PF00004	18238	0.0	0.0	0.0
547	PF00004	1855	0.0	0.0	0.0
548	PF00004	10056	0.5	1.0	0.5
549	PF00004	18250	0.0	0.5	0.5
550	PF00004	1869	0.0	1.0	1.0
551	PF00004	10061	0.0	0.5	0.5
552	PF00004	18260	0.0	0.0	0.0
553	PF00004	18272	0.0	1.0	1.0
554	PF00004	1896	0.0	0.0	0.0
555	PF00004	18280	0.0	0.5	0.5
556	PF00004	1900	0.0	0.0	0.0
557	PF00004	10094	0.5	0.5	0.0
558	PF00004	1907	0.0	0.5	0.5
559	PF00004	18291	0.0	0.0	0.0
560	PF00004	1909	0.5	0.5	0.0
561	PF00004	18298	0.0	1.0	1.0
562	PF00004	10107	0.0	0.5	0.5
563	PF00004	1918	0.0	0.5	0.5
564	PF00004	10113	0.0	0.0	0.0
565	PF00004	1926	0.0	0.5	0.5
566	PF00004	18310	0.0	0.5	0.5
567	PF00004	18312	1.0	0.5	1.0
568	PF00004	1931	0.0	0.5	0.5
569	PF00004	1932	0.0	0.5	0.5
570	PF00004	10124	0.0	1.0	1.0
571	PF00004	1934	0.0	0.0	0.0
572	PF00004	1940	0.0	0.0	0.0
573	PF00004	10137	0.0	1.0	1.0
574	PF00004	18330	0.0	0.5	0.5
