family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
PF00004	17659	0.875	0.8958333333333334	0.5208333333333334
PF00004	17661	0.9166666666666666	0.9166666666666666	0.6041666666666666
PF00004	1280	0.8958333333333334	0.9375	0.5
PF00004	9473	0.8333333333333334	0.875	0.5208333333333334
PF00004	9475	0.9375	0.9166666666666666	0.4791666666666667
PF00004	1287	0.8541666666666666	0.875	0.5833333333333334
PF00004	17675	0.8958333333333334	0.9166666666666666	0.5625
PF00004	17676	0.8541666666666666	0.9166666666666666	0.6041666666666666
PF00004	17681	0.9583333333333334	0.9166666666666666	0.4166666666666667
PF00004	1301	0.9166666666666666	0.9583333333333334	0.5625
PF00004	17686	0.9166666666666666	0.9166666666666666	0.4375
PF00004	1305	0.875	0.875	0.4375
PF00004	1307	0.8958333333333334	0.9166666666666666	0.4375
PF00004	9500	0.8958333333333334	0.9166666666666666	0.4166666666666667
PF00004	17693	0.875	0.9375	0.5416666666666666
PF00004	9504	0.8958333333333334	0.9166666666666666	0.5
PF00004	1313	0.8333333333333334	0.8333333333333334	0.4375
PF00004	1317	0.8958333333333334	0.8958333333333334	0.3958333333333333
PF00004	9511	0.8958333333333334	0.9375	0.5208333333333334
PF00004	1325	0.9375	0.9166666666666666	0.5208333333333334
PF00004	9517	0.875	0.875	0.4583333333333333
PF00004	9520	0.8958333333333334	0.9375	0.5833333333333334
PF00004	9522	0.9375	0.9791666666666666	0.4791666666666667
PF00004	17716	0.8333333333333334	0.8541666666666666	0.5208333333333334
PF00004	9525	0.9375	0.9583333333333334	0.5208333333333334
PF00004	17718	0.875	0.8958333333333334	0.5208333333333334
PF00004	1342	0.8541666666666666	0.875	0.5625
PF00004	1343	0.9166666666666666	0.9583333333333334	0.5416666666666666
PF00004	17728	0.8541666666666666	0.8333333333333334	0.4583333333333333
PF00004	9541	0.8541666666666666	0.8541666666666666	0.5416666666666666
PF00004	1354	0.8333333333333334	0.8125	0.4791666666666667
PF00004	9551	0.8958333333333334	0.9375	0.5208333333333334
PF00004	9557	0.9166666666666666	0.9166666666666666	0.4375
PF00004	17750	0.9583333333333334	0.9583333333333334	0.5625
PF00004	1368	0.8958333333333334	0.8958333333333334	0.4375
PF00004	17765	0.875	0.875	0.4583333333333333
PF00004	1383	0.8333333333333334	0.9166666666666666	0.5625
PF00004	9577	0.9166666666666666	0.9166666666666666	0.5416666666666666
PF00004	17771	0.875	0.875	0.5
PF00004	17772	0.875	0.8541666666666666	0.6041666666666666
PF00004	9581	0.8541666666666666	0.875	0.5416666666666666
PF00004	1390	0.8333333333333334	0.8541666666666666	0.5208333333333334
PF00004	17773	0.8958333333333334	0.9375	0.5208333333333334
PF00004	17774	0.875	0.875	0.4375
PF00004	17775	0.9166666666666666	0.9583333333333334	0.5625
PF00004	17779	0.8125	0.8125	0.4791666666666667
PF00004	9589	0.875	0.875	0.4583333333333333
PF00004	1404	0.8125	0.8541666666666666	0.5625
PF00004	9601	0.8958333333333334	0.9166666666666666	0.5208333333333334
PF00004	1410	0.9166666666666666	0.9583333333333334	0.5
PF00004	1436	0.8958333333333334	0.9166666666666666	0.5208333333333334
PF00004	17825	0.9375	0.9583333333333334	0.5208333333333334
PF00004	17827	0.9166666666666666	0.9375	0.625
PF00004	9638	0.875	0.8958333333333334	0.5
PF00004	9651	0.8541666666666666	0.8958333333333334	0.5208333333333334
PF00004	17845	0.9166666666666666	0.9375	0.4791666666666667
PF00004	9655	0.875	0.875	0.5
PF00004	17851	0.9583333333333334	0.9583333333333334	0.5
PF00004	9663	0.9791666666666666	0.9791666666666666	0.5416666666666666
PF00004	9668	0.9166666666666666	0.875	0.5416666666666666
PF00004	1482	0.9791666666666666	0.9791666666666666	0.5833333333333334
PF00004	17869	0.9166666666666666	0.875	0.5833333333333334
PF00004	9687	0.9166666666666666	0.9166666666666666	0.4583333333333333
PF00004	17880	0.8958333333333334	0.875	0.5
PF00004	1501	0.9166666666666666	0.9166666666666666	0.4583333333333333
PF00004	9693	0.875	0.8958333333333334	0.4375
PF00004	9701	0.875	0.875	0.5416666666666666
PF00004	17906	0.8125	0.875	0.5625
PF00004	9716	0.9166666666666666	0.9375	0.5
PF00004	1525	0.8958333333333334	0.8958333333333334	0.5416666666666666
PF00004	17910	0.875	0.875	0.5
PF00004	17913	0.9791666666666666	1.0	0.5416666666666666
PF00004	1532	0.9791666666666666	0.9583333333333334	0.4375
PF00004	17925	0.8125	0.8958333333333334	0.5625
PF00004	1543	0.9583333333333334	0.9583333333333334	0.4166666666666667
PF00004	1550	0.8958333333333334	0.9375	0.5208333333333334
PF00004	17940	0.8541666666666666	0.8541666666666666	0.4791666666666667
PF00004	1561	0.9375	0.9583333333333334	0.5416666666666666
PF00004	9753	0.875	0.8958333333333334	0.4791666666666667
PF00004	9763	0.8958333333333334	0.875	0.5416666666666666
PF00004	17956	0.8333333333333334	0.8958333333333334	0.4791666666666667
PF00004	9766	0.9375	0.9375	0.5208333333333334
PF00004	9767	0.9375	0.9375	0.4375
